[1626187860271, 'BTCUSDT', {'t': 1626187800000, 'T': 1626187859999, 's': 'BTCUSDT', 'i': '1m', 'f': 954561806, 'L': 954562166, 'o': '32572.47000000', 'c': '32555.01000000', 'h': '32572.48000000', 'l': '32555.00000000', 'v': '13.60823100', 'n': 361, 'x': True, 'q': '443158.56351343', 'V': '4.03459600', 'Q': '131365.64159541', 'B': '0'}]
[1626187862995, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562180, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.19437800', 'n': 14, 'x': False, 'q': '6327.97745693', 'V': '0.16669300', 'Q': '5426.69228193', 'B': '0'}]
[1626187862995, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562180, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.19437800', 'n': 14, 'x': False, 'q': '6327.97745693', 'V': '0.16669300', 'Q': '5426.69228193', 'B': '0'}]
[1626187865533, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562190, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.25906500', 'n': 24, 'x': False, 'q': '8433.86338880', 'V': '0.23138000', 'Q': '7532.57821380', 'B': '0'}]
[1626187865533, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562190, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.25906500', 'n': 24, 'x': False, 'q': '8433.86338880', 'V': '0.23138000', 'Q': '7532.57821380', 'B': '0'}]
[1626187868082, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562197, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.31150400', 'n': 31, 'x': False, 'q': '10141.01553998', 'V': '0.28199800', 'Q': '9180.44770998', 'B': '0'}]
[1626187868082, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562197, 'o': '32555.01000000', 'c': '32555.01000000', 'h': '32555.01000000', 'l': '32555.00000000', 'v': '0.31150400', 'n': 31, 'x': False, 'q': '10141.01553998', 'V': '0.28199800', 'Q': '9180.44770998', 'B': '0'}]
[1626187888632, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562346, 'o': '32555.01000000', 'c': '32554.46000000', 'h': '32560.03000000', 'l': '32554.46000000', 'v': '14.46345900', 'n': 180, 'x': False, 'q': '470894.45290392', 'V': '7.09763900', 'Q': '231085.34793663', 'B': '0'}]
[1626187890814, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562355, 'o': '32555.01000000', 'c': '32554.47000000', 'h': '32560.03000000', 'l': '32554.46000000', 'v': '14.54068500', 'n': 189, 'x': False, 'q': '473408.50389443', 'V': '7.12389400', 'Q': '231940.06554648', 'B': '0'}]
[1626187892845, 'BTCUSDT', {'t': 1626187860000, 'T': 1626187919999, 's': 'BTCUSDT', 'i': '1m', 'f': 954562167, 'L': 954562413, 'o': '32555.01000000', 'c': '32554.10000000', 'h': '32560.03000000', 'l': '32554.10000000', 'v': '33.23920800', 'n': 247, 'x': False, 'q': '1082122.15302972', 'V': '7.48090900', 'Q': '243562.37423781', 'B': '0'}]
